DEPP;CODCOMP;COMP;DEP;CODCOM;COM;PMUN;PCAP;PTOT
25;156;Pays-de-Clerval;25;140;Chaux-lès-Clerval;155;4;159
25;505;Rougemont;25;144;Chazelot;52;2;54
25;101;Burgille;25;146;Chazoy;58;2;60
25;101;Burgille;25;165;Cordiron;123;2;125
25;374;Mercey-le-Grand;25;167;Cottier;95;6;101
25;223;Éternoz;25;168;Coulans-sur-Lizon;22;0;22
25;223;Éternoz;25;205;Doulaize;20;0;20
25;018;Anteuil;25;272;Glainans;124;7;131
25;417;Naisey-les-Granges;25;291;Granges-de-Vienney;29;1;30
25;357;Maisons-du-Bois-Lièvremont;25;337;Lièvremont;427;6;433
25;468;Pouligney-Lusans;25;353;Lusans;173;5;178
25;537;Scey-Maisières;25;358;Maisières-Notre-Dame;70;4;74
25;187;Dambelin;25;363;Mambouhans;57;1;58
25;505;Rougemont;25;396;Montferney;54;2;56
25;275;Glère;25;407;Montursin;6;0;6
25;505;Rougemont;25;409;Morchamps;15;0;15
25;434;Ornans;25;434;Ornans;4304;103;4407
25;438;Osselle-Routelle;25;438;Osselle;447;5;452
25;223;Éternoz;25;484;Refranche;18;1;19
25;438;Osselle-Routelle;25;509;Routelle;512;10;522
25;385;Montagney-Servigney;25;543;Servigney;50;0;50
25;018;Anteuil;25;568;Tournedoz;22;0;22
25;212;École-Valentin;25;581;Valentin;340;4;344
25;275;Glère;25;606;Vernois-le-Fol;67;2;69
26;001;Solaure en Diois;26;001;Aix-en-Diois;332;7;339
26;086;Châtillon-en-Diois;26;086;Châtillon-en-Diois;546;10;556
26;210;Valherbasse;26;184;Miribel;298;3;301
26;001;Solaure en Diois;26;187;Molières-Glandaz;96;1;97
26;210;Valherbasse;26;210;Montrigaud;492;9;501
26;216;Saint-Jean-de-Galaure;26;216;La Motte-de-Galaure;796;14;810
26;216;Saint-Jean-de-Galaure;26;219;Mureils;479;10;489
26;210;Valherbasse;26;297;Saint-Bonnet-de-Valclérieux;231;5;236
26;086;Châtillon-en-Diois;26;354;Treschenu-Creyers;112;2;114
26;179;Mercurol-Veaunes;26;366;Veaunes;366;7;373
27;049;Mesnil-en-Ouche;27;007;Ajou;258;3;261
27;011;Amfreville-Saint-Amand;27;011;Amfreville-la-Campagne;913;9;922
27;022;Le Val d'Hazey;27;022;Aubevoye;4752;99;4851
27;198;Mesnils-sur-Iton;27;024;Le Roncenay-Authenay;332;5;337
27;049;Mesnil-en-Ouche;27;041;La Barre-en-Ouche;836;21;857
27;049;Mesnil-en-Ouche;27;049;Beaumesnil;482;34;516
27;213;Vexin-sur-Epte;27;060;Berthenonville;245;2;247
27;062;Les Monts du Roumois;27;062;Berville-en-Roumois;859;27;886
27;070;Frenelles-en-Vexin;27;070;Boisemont;797;8;805
27;085;Flancourt-Crescy-en-Roumois;27;085;Bosc-Bénard-Crescy;460;4;464
27;049;Mesnil-en-Ouche;27;088;Bosc-Renoult-en-Ouche;136;4;140
27;090;Bosroumois;27;090;Le Bosc-Roger-en-Roumois;3316;60;3376
27;062;Les Monts du Roumois;27;092;Bosguérard-de-Marcouville;624;17;641
27;090;Bosroumois;27;093;Bosnormand;402;8;410
27;107;Bourneville-Sainte-Croix;27;107;Bourneville;1039;18;1057
27;112;Breteuil;27;112;Breteuil;3093;107;3200
27;213;Vexin-sur-Epte;27;121;Bus-Saint-Rémy;339;6;345
27;213;Vexin-sur-Epte;27;122;Cahaignes;344;9;353
27;213;Vexin-sur-Epte;27;128;Cantiers;225;4;229
27;425;Nassandres sur Risle;27;131;Carsix;271;3;274
27;685;La Vieille-Lyre;27;143;Champignolles;38;2;40
27;112;Breteuil;27;159;Cintray;446;4;450
27;213;Vexin-sur-Epte;27;160;Civières;218;8;226
27;198;Mesnils-sur-Iton;27;166;Condé-sur-Iton;920;11;931
27;070;Frenelles-en-Vexin;27;175;Corny;388;4;392
27;578;Sainte-Marie-d'Attez;27;195;Dame-Marie;128;3;131
27;213;Vexin-sur-Epte;27;197;Dampsmesnil;196;5;201
27;198;Mesnils-sur-Iton;27;198;Damville;2090;28;2118
27;213;Vexin-sur-Epte;27;213;Écos;1068;14;1082
27;049;Mesnil-en-Ouche;27;221;Épinay;294;5;299
27;425;Nassandres sur Risle;27;253;Fontaine-la-Soret;378;7;385
27;213;Vexin-sur-Epte;27;255;Fontenay-en-Vexin;251;4;255
27;213;Vexin-sur-Epte;27;257;Forêt-la-Folie;480;18;498
27;213;Vexin-sur-Epte;27;262;Fourges;759;16;775
27;263;Le Perrey;27;263;Fourmetot;682;11;693
27;213;Vexin-sur-Epte;27;264;Fours-en-Vexin;193;4;197
27;679;Verneuil d'Avre et d'Iton;27;265;Francheville;1174;21;1195
27;070;Frenelles-en-Vexin;27;270;Fresne-l'Archevêque;529;15;544
27;294;Val d'Orger;27;274;Gaillardbois-Cressenville;443;7;450
27;277;La Baronnie;27;277;Garencières;607;13;620
27;049;Mesnil-en-Ouche;27;283;Gisay-la-Coudre;241;6;247
27;049;Mesnil-en-Ouche;27;292;Gouttières;178;2;180
27;198;Mesnils-sur-Iton;27;293;Gouville;591;128;719
27;294;Val d'Orger;27;294;Grainville;550;8;558
27;049;Mesnil-en-Ouche;27;296;Granchain;219;5;224
27;198;Mesnils-sur-Iton;27;297;Grandvilliers;315;3;318
27;112;Breteuil;27;305;La Guéroulde;782;13;795
27;213;Vexin-sur-Epte;27;308;Guitry;255;4;259
27;062;Les Monts du Roumois;27;344;Houlbec-près-le-Gros-Theil;88;1;89
27;049;Mesnil-en-Ouche;27;356;Jonquerets-de-Livet;332;5;337
27;049;Mesnil-en-Ouche;27;362;Landepéreuse;379;10;389
27;198;Mesnils-sur-Iton;27;387;Manthelon;330;3;333
27;412;Terres de Bord;27;412;Montaure;1100;24;1124
27;198;Mesnils-sur-Iton;27;416;Buis-sur-Damville;1022;23;1045
27;425;Nassandres sur Risle;27;425;Nassandres;1302;24;1326
27;448;Pacy-sur-Eure;27;448;Pacy-sur-Eure;4540;115;4655
27;213;Vexin-sur-Epte;27;449;Panilleuse;461;10;471
27;425;Nassandres sur Risle;27;452;Perriers-la-Campagne;415;6;421
27;471;Porte-de-Seine;27;471;Porte-Joie;100;3;103
27;153;Chauvincourt-Provemont;27;479;Provemont;141;3;144
27;277;La Baronnie;27;484;Quessigny;141;2;143
27;198;Mesnils-sur-Iton;27;491;Roman;243;8;251
27;049;Mesnil-en-Ouche;27;499;La Roussière;212;5;217
27;198;Mesnils-sur-Iton;27;503;Le Sacq;306;7;313
27;011;Amfreville-Saint-Amand;27;506;Saint-Amand-des-Hautes-Terres;284;4;288
27;448;Pacy-sur-Eure;27;510;Saint-Aquilin-de-Pacy;502;11;513
27;049;Mesnil-en-Ouche;27;513;Saint-Aubin-des-Hayes;146;6;152
27;049;Mesnil-en-Ouche;27;515;Saint-Aubin-le-Guichard;288;7;295
27;516;Treis-Sants-en-Ouche;27;516;Saint-Aubin-le-Vertueux;812;19;831
27;022;Le Val d'Hazey;27;519;Sainte-Barbe-sur-Gaillon;310;4;314
27;516;Treis-Sants-en-Ouche;27;523;Saint-Clair-d'Arcey;356;12;368
27;107;Bourneville-Sainte-Croix;27;526;Sainte-Croix-sur-Aizier;297;6;303
27;049;Mesnil-en-Ouche;27;566;Sainte-Marguerite-en-Ouche;95;1;96
27;578;Sainte-Marie-d'Attez;27;573;Saint-Nicolas-d'Attez;168;6;174
27;578;Sainte-Marie-d'Attez;27;578;Saint-Ouen-d'Attez;295;3;298
27;263;Le Perrey;27;581;Saint-Ouen-des-Champs;312;8;320
27;049;Mesnil-en-Ouche;27;596;Saint-Pierre-du-Mesnil;90;0;90
27;516;Treis-Sants-en-Ouche;27;600;Saint-Quentin-des-Isles;218;3;221
27;263;Le Perrey;27;607;Saint-Thurien;242;1;243
27;049;Mesnil-en-Ouche;27;628;Thevray;298;5;303
27;412;Terres de Bord;27;648;Tostes;420;8;428
27;471;Porte-de-Seine;27;651;Tournedos-sur-Seine;107;2;109
27;213;Vexin-sur-Epte;27;653;Tourny;930;31;961
27;679;Verneuil d'Avre et d'Iton;27;679;Verneuil-sur-Avre;6200;322;6522
27;022;Le Val d'Hazey;27;687;Vieux-Villez;186;3;189
28;199;Janville-en-Beauce;28;002;Allaines-Mervilliers;251;6;257
28;023;Bailleau-Armenonville;28;011;Armenonville-les-Gâtineaux;283;12;295
28;015;Auneau-Bleury-Saint-Symphorien;28;015;Auneau;4918;69;4987
28;018;Authon-du-Perche;28;018;Authon-du-Perche;1160;12;1172
28;406;Éole-en-Beauce;28;020;Baignolet;111;6;117
28;226;Maillebois;28;043;Blévy;363;6;369
28;236;Arcisses;28;063;Brunelles;509;8;517
28;236;Arcisses;28;112;Coudreceau;478;9;487
28;226;Maillebois;28;125;Dampierre-sur-Blévy;245;5;250
28;406;Éole-en-Beauce;28;145;Fains-la-Folie;343;6;349
28;331;Saintigny;28;165;Frétigny;496;10;506
28;386;Thimert-Gâtelles;28;174;Gâtelles;396;6;402
28;406;Éole-en-Beauce;28;179;Germignonville;224;3;227
28;199;Janville-en-Beauce;28;199;Janville;1890;29;1919
28;120;Crucey-Villages;28;228;Mainterne;72;0;72
28;236;Arcisses;28;236;Margon;1203;25;1228
28;360;Saint-Sauveur-Marville;28;238;Marville-les-Bois;366;9;375
