"ANNEE";"AGE";"SEXE";"POP"
"2013";0;"M";1599
"2013";0;"F";1585
"2013";1;"M";1702
"2013";1;"F";1649
"2013";2;"M";1725
"2013";2;"F";1615
"2013";3;"M";1680
"2013";3;"F";1684
"2013";4;"M";1735
"2013";4;"F";1691
"2013";5;"M";1808
"2013";5;"F";1750
"2013";6;"M";1808
"2013";6;"F";1772
"2013";7;"M";1809
"2013";7;"F";1821
"2013";8;"M";1964
"2013";8;"F";1817
"2013";9;"M";1942
"2013";9;"F";1814
"2013";10;"M";1997
"2013";10;"F";1782
"2013";11;"M";1955
"2013";11;"F";1853
"2013";12;"M";2060
"2013";12;"F";1830
"2013";13;"M";1888
"2013";13;"F";2024
"2013";14;"M";2002
"2013";14;"F";1953
"2013";15;"M";1952
"2013";15;"F";1842
"2013";16;"M";1880
"2013";16;"F";1825
"2013";17;"M";1917
"2013";17;"F";1879
"2013";18;"M";1871
"2013";18;"F";1624
"2013";19;"M";1745
"2013";19;"F";1602
"2013";20;"M";1715
"2013";20;"F";1496
"2013";21;"M";1549
"2013";21;"F";1350
"2013";22;"M";1596
"2013";22;"F";1474
"2013";23;"M";1520
"2013";23;"F";1462
"2013";24;"M";1536
"2013";24;"F";1464
"2013";25;"M";1542
"2013";25;"F";1437
"2013";26;"M";1567
"2013";26;"F";1608
"2013";27;"M";1484
"2013";27;"F";1513
"2013";28;"M";1588
"2013";28;"F";1613
"2013";29;"M";1619
"2013";29;"F";1681
"2013";30;"M";1586
"2013";30;"F";1723
"2013";31;"M";1629
"2013";31;"F";1842
"2013";32;"M";1738
"2013";32;"F";1698
"2013";33;"M";1779
"2013";33;"F";1825
"2013";34;"M";1733
"2013";34;"F";1706
"2013";35;"M";1704
"2013";35;"F";1671
"2013";36;"M";1692
"2013";36;"F";1796
"2013";37;"M";1805
"2013";37;"F";1895
"2013";38;"M";1986
"2013";38;"F";2029
"2013";39;"M";2059
"2013";39;"F";2154
"2013";40;"M";2147
"2013";40;"F";2157
"2013";41;"M";2248
"2013";41;"F";2269
"2013";42;"M";2186
"2013";42;"F";2366
"2013";43;"M";2276
"2013";43;"F";2248
"2013";44;"M";2370
"2013";44;"F";2159
"2013";45;"M";2331
"2013";45;"F";2255
"2013";46;"M";2339
"2013";46;"F";2289
"2013";47;"M";2354
"2013";47;"F";2399
"2013";48;"M";2234
"2013";48;"F";2393
"2013";49;"M";2409
"2013";49;"F";2399
"2013";50;"M";2299
"2013";50;"F";2448
"2013";51;"M";2362
"2013";51;"F";2394
"2013";52;"M";2423
"2013";52;"F";2482
"2013";53;"M";2342
"2013";53;"F";2410
"2013";54;"M";2287
"2013";54;"F";2458
"2013";55;"M";2468
"2013";55;"F";2510
"2013";56;"M";2306
"2013";56;"F";2484
"2013";57;"M";2325
"2013";57;"F";2453
"2013";58;"M";2416
"2013";58;"F";2640
"2013";59;"M";2405
"2013";59;"F";2511
"2013";60;"M";2427
"2013";60;"F";2692
"2013";61;"M";2606
"2013";61;"F";2711
"2013";62;"M";2590
"2013";62;"F";2673
"2013";63;"M";2541
"2013";63;"F";2854
"2013";64;"M";2526
"2013";64;"F";2695
"2013";65;"M";2402
"2013";65;"F";2556
"2013";66;"M";2190
"2013";66;"F";2340
"2013";67;"M";2072
"2013";67;"F";2318
"2013";68;"M";1889
"2013";68;"F";2016
"2013";69;"M";1652
"2013";69;"F";1946
"2013";70;"M";1607
"2013";70;"F";1848
"2013";71;"M";1590
"2013";71;"F";1726
"2013";72;"M";1520
"2013";72;"F";1735
"2013";73;"M";1469
"2013";73;"F";1908
"2013";74;"M";1520
"2013";74;"F";1795
"2013";75;"M";1500
"2013";75;"F";1814
"2013";76;"M";1485
"2013";76;"F";1895
"2013";77;"M";1432
"2013";77;"F";1952
"2013";78;"M";1305
"2013";78;"F";1820
"2013";79;"M";1286
"2013";79;"F";1945
"2013";80;"M";1225
"2013";80;"F";1855
"2013";81;"M";1170
"2013";81;"F";1974
"2013";82;"M";1082
"2013";82;"F";1741
"2013";83;"M";995
"2013";83;"F";1770
"2013";84;"M";900
"2013";84;"F";1602
"2013";85;"M";822
"2013";85;"F";1541
"2013";86;"M";699
"2013";86;"F";1403
"2013";87;"M";650
"2013";87;"F";1263
"2013";88;"M";587
"2013";88;"F";1168
"2013";89;"M";517
"2013";89;"F";1037
"2013";90;"M";396
"2013";90;"F";940
"2013";91;"M";288
"2013";91;"F";717
"2013";92;"M";208
"2013";92;"F";594
"2013";93;"M";130
"2013";93;"F";398
"2013";94;"M";99
"2013";94;"F";292
"2013";95;"M";46
"2013";95;"F";147
"2013";96;"M";49
"2013";96;"F";167
"2013";97;"M";22
"2013";97;"F";121
"2013";98;"M";23
"2013";98;"F";97
"2013";99;"M";34
"2013";99;"F";247
"2014";0;"M";1540
"2014";0;"F";1563
"2014";1;"M";1643
"2014";1;"F";1628
"2014";2;"M";1736
"2014";2;"F";1626
"2014";3;"M";1668
"2014";3;"F";1681
"2014";4;"M";1708
"2014";4;"F";1694
"2014";5;"M";1830
"2014";5;"F";1709
"2014";6;"M";1803
"2014";6;"F";1748
"2014";7;"M";1790
"2014";7;"F";1836
"2014";8;"M";1935
"2014";8;"F";1861
"2014";9;"M";1901
"2014";9;"F";1846
"2014";10;"M";1951
"2014";10;"F";1759
"2014";11;"M";1907
"2014";11;"F";1932
"2014";12;"M";2039
"2014";12;"F";1871
"2014";13;"M";1907
"2014";13;"F";1966
"2014";14;"M";2038
"2014";14;"F";1976
"2014";15;"M";1991
"2014";15;"F";1817
"2014";16;"M";1893
"2014";16;"F";1865
"2014";17;"M";1989
"2014";17;"F";1852
"2014";18;"M";1834
"2014";18;"F";1605
"2014";19;"M";1711
"2014";19;"F";1526
"2014";20;"M";1639
"2014";20;"F";1442
"2014";21;"M";1576
"2014";21;"F";1356
"2014";22;"M";1593
"2014";22;"F";1433
"2014";23;"M";1551
"2014";23;"F";1507
"2014";24;"M";1577
"2014";24;"F";1409
"2014";25;"M";1556
"2014";25;"F";1422
"2014";26;"M";1579
"2014";26;"F";1598
"2014";27;"M";1535
"2014";27;"F";1557
"2014";28;"M";1550
"2014";28;"F";1618
"2014";29;"M";1598
"2014";29;"F";1613
"2014";30;"M";1561
"2014";30;"F";1638
"2014";31;"M";1646
"2014";31;"F";1842
"2014";32;"M";1753
"2014";32;"F";1716
"2014";33;"M";1739
"2014";33;"F";1825
"2014";34;"M";1724
"2014";34;"F";1758
"2014";35;"M";1716
"2014";35;"F";1706
