"ANNEE";"AGE";"SEXE";"POP"
"2014";16;"F";3952
"2014";17;"M";4168
"2014";17;"F";4020
"2014";18;"M";3412
"2014";18;"F";3208
"2014";19;"M";3162
"2014";19;"F";2860
"2014";20;"M";3150
"2014";20;"F";2758
"2014";21;"M";3042
"2014";21;"F";2798
"2014";22;"M";3109
"2014";22;"F";2817
"2014";23;"M";3212
"2014";23;"F";2864
"2014";24;"M";3295
"2014";24;"F";3033
"2014";25;"M";3437
"2014";25;"F";3348
"2014";26;"M";3393
"2014";26;"F";3369
"2014";27;"M";3471
"2014";27;"F";3548
"2014";28;"M";3644
"2014";28;"F";3671
"2014";29;"M";3710
"2014";29;"F";3821
"2014";30;"M";3823
"2014";30;"F";3818
"2014";31;"M";4031
"2014";31;"F";3834
"2014";32;"M";3953
"2014";32;"F";3963
"2014";33;"M";4065
"2014";33;"F";4203
"2014";34;"M";4069
"2014";34;"F";4204
"2014";35;"M";4033
"2014";35;"F";4127
"2014";36;"M";3954
"2014";36;"F";4114
"2014";37;"M";4062
"2014";37;"F";4008
"2014";38;"M";4235
"2014";38;"F";4160
"2014";39;"M";4362
"2014";39;"F";4429
"2014";40;"M";4597
"2014";40;"F";4535
"2014";41;"M";4650
"2014";41;"F";4774
"2014";42;"M";4718
"2014";42;"F";4790
"2014";43;"M";4800
"2014";43;"F";4735
"2014";44;"M";4702
"2014";44;"F";4748
"2014";45;"M";4638
"2014";45;"F";4615
"2014";46;"M";4674
"2014";46;"F";4559
"2014";47;"M";4658
"2014";47;"F";4590
"2014";48;"M";4670
"2014";48;"F";4641
"2014";49;"M";4731
"2014";49;"F";4642
"2014";50;"M";4500
"2014";50;"F";4418
"2014";51;"M";4579
"2014";51;"F";4392
"2014";52;"M";4327
"2014";52;"F";4287
"2014";53;"M";4262
"2014";53;"F";4101
"2014";54;"M";4031
"2014";54;"F";4020
"2014";55;"M";3950
"2014";55;"F";4014
"2014";56;"M";3844
"2014";56;"F";4074
"2014";57;"M";3907
"2014";57;"F";4037
