"70";2020;168.41
"70";2019;197.02
"70";2018;197.51
"70";2017;199.48
"71";2020;174.8
"71";2019;194.42
"71";2018;192.81
"71";2017;189
"72";2020;179.57
"72";2019;198.79
"72";2018;195.4
"72";2017;192.58
"73";2020;157.21
"73";2019;189.6
"73";2018;189.59
"73";2017;187.29
"74";2020;158.6
"74";2019;181.18
"74";2018;180.73
"74";2017;179.28
"75";2020;160.68
"75";2019;177.12
"75";2018;180.4
"75";2017;177.02
"76";2020;178.86
"76";2019;195.91
"76";2018;197.49
"76";2017;196.01
"77";2020;163.24
"77";2019;185.33
"77";2018;186.61
"77";2017;187.99
"78";2020;167.15
"78";2019;188.09
"78";2018;186.53
"78";2017;186.61
"79";2020;163.43
"79";2019;185.42
"79";2018;184.06
"79";2017;185.25
"80";2020;176.88
"80";2019;197.18
"80";2018;196.02
"80";2017;197.67
"81";2020;176.26
"81";2019;193.82
"81";2018;192.03
"81";2017;190.87
"82";2020;181.23
"82";2019;204.15
"82";2018;200.3
"82";2017;206.05
"83";2020;193.61
"83";2019;215.58
"83";2018;213.02
"83";2017;212.25
"84";2020;180.61
"84";2019;201.14
"84";2018;201.01
"84";2017;200.15
"85";2020;177.22
"85";2019;195.21
"85";2018;193.49
"85";2017;192.9
"86";2020;170.07
"86";2019;188.56
"86";2018;189.08
"86";2017;186.94
"87";2020;172.35
"87";2019;181.87
"87";2018;181.24
"87";2017;178.73
"88";2020;175.66
"88";2019;198.11
"88";2018;199.15
"88";2017;196.59
"89";2020;170.2
"89";2019;192.98
"89";2018;191.99
"89";2017;189.84
"90";2020;156.95
"90";2019;178.9
"90";2018;180.51
"90";2017;175.22
"91";2020;167.93
"91";2019;189.09
"91";2018;189.17
"91";2017;190.19
"92";2020;159.09
"92";2019;177.19
"92";2018;180.47
"92";2017;180.17
"93";2020;169.1
"93";2019;189.67
"93";2018;192.64
"93";2017;192.51
"94";2020;162.06
"94";2019;185.05
"94";2018;184.62
"94";2017;183.92
"95";2020;170.48
"95";2019;192.33
"95";2018;191.59
"95";2017;193.16
"971";2020;157.72
"971";2019;173.38
"971";2018;168.2
"971";2017;140.93
"972";2020;145.99
"972";2019;153.96
"972";2018;157.37
"972";2017;155.48
"973";2020;147.23
"973";2019;176.07
"973";2018;174.09
"973";2017;162.02
"974";2020;170.67
"974";2019;185.01
"974";2018;181.88
"974";2017;184.13
"976";2020;66.67
"976";2019;67.76
"976";2018;65.47
"976";2017;62.82
