"Code","Geographic Local Authority Code","Geographic Local Authority Name"
"15D","618","ROYAL BOROUGH OF WINDSOR AND MAIDENHEAD"
"15E","406","BIRMINGHAM CITY COUNCIL"
"15F","212","LEEDS CITY COUNCIL"
"15L","212","LEEDS CITY COUNCIL"
"15M","507","DERBY CITY COUNCIL"
"15N","912","DEVON COUNTY COUNCIL"
"16C","112","MIDDLESBROUGH BOROUGH COUNCIL"
"18C","416","WORCESTERSHIRE COUNTY COUNCIL"
"26A","607","NORFOLK COUNTY COUNCIL"
"27D","326","CHESHIRE EAST COUNCIL"
"27T","212","LEEDS CITY COUNCIL"
"32T","212","LEEDS CITY COUNCIL"
"36J","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"36L","730","LONDON BOROUGH OF MERTON"
"42D","218","NORTH YORKSHIRE COUNCIL"
"52R","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"70F","807","WEST SUSSEX COUNTY COUNCIL"
"71E","503","LINCOLNSHIRE COUNTY COUNCIL"
"72Q","710","LONDON BOROUGH OF SOUTHWARK"
"76A","212","LEEDS CITY COUNCIL"
"78H","Z9D4Z","NORTH NORTHAMPTONSHIRE COUNCIL"
"84H","116","DURHAM COUNTY COUNCIL"
"85J","212","LEEDS CITY COUNCIL"
"91Q","820","KENT COUNTY COUNCIL"
"92A","805","SURREY COUNTY COUNCIL"
"92G","817","WILTSHIRE COUNCIL"
"93C","706","LONDON BOROUGH OF ISLINGTON"
"97R","815","EAST SUSSEX COUNTY COUNCIL"
"97T","212","LEEDS CITY COUNCIL"
"99A","316","LIVERPOOL CITY COUNCIL"
"99C","108","NORTH TYNESIDE COUNCIL"
"99E","620","ESSEX COUNTY COUNCIL"
"99F","620","ESSEX COUNTY COUNCIL"
"99G","621","SOUTHEND-ON-SEA BOROUGH COUNCIL"
"99M","812","HAMPSHIRE COUNTY COUNCIL"
"A0A9J","307","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"A0B6K","820","KENT COUNTY COUNCIL"
"A0C5S","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"A0D3L","724","LONDON BOROUGH OF HARINGEY"
"A0F0A","507","DERBY CITY COUNCIL"
"A0G3R","731","LONDON BOROUGH OF NEWHAM"
"A0K5A","205","DONCASTER METROPOLITAN BOROUGH COUNCIL"
"A0L1I","618","ROYAL BOROUGH OF WINDSOR AND MAIDENHEAD"
"A0L6Y","608","OXFORDSHIRE COUNTY COUNCIL"
"A0L7B","820","KENT COUNTY COUNCIL"
"A0P0S","712","LONDON BOROUGH OF WANDSWORTH"
"A0P3U","623","CAMBRIDGESHIRE COUNTY COUNCIL"
"A0Q5S","725","LONDON BOROUGH OF HARROW"
"A0U3Z","306","MANCHESTER CITY COUNCIL"
"A0W1Z","211","KIRKLEES COUNCIL"
"A1G6P","820","KENT COUNTY COUNCIL"
"A1K1T","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"A1K9F","721","LONDON BOROUGH OF CROYDON"
"A1M4G","413","STAFFORDSHIRE COUNTY COUNCIL"
"A1S9E","219","CITY OF YORK COUNCIL"
"A1T1L","326","CHESHIRE EAST COUNCIL"
"A1Z5X","212","LEEDS CITY COUNCIL"
"A2C5N","620","ESSEX COUNTY COUNCIL"
"A2I2A","613","MILTON KEYNES COUNCIL"
"A2R9X","620","ESSEX COUNTY COUNCIL"
"A2S0X","307","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"A2T4J","812","HAMPSHIRE COUNTY COUNCIL"
"A2W5H","821","MEDWAY COUNCIL"
"A3A8R","731","LONDON BOROUGH OF NEWHAM"
"A3C4G","912","DEVON COUNTY COUNCIL"
"A3E9U","729","ROYAL BOROUGH OF KINGSTON UPON THAMES"
"A3G6B","902","CORNWALL COUNCIL"
"A3I7X","910","NORTH SOMERSET COUNCIL"
"A3K1D","404","WARWICKSHIRE COUNTY COUNCIL"
"A3O9S","717","LONDON BOROUGH OF BARNET"
"A3X9N","309","SALFORD CITY COUNCIL"
"A3Y9I","308","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"A3Z2W","809","DORSET COUNCIL"
"A4A7T","306","MANCHESTER CITY COUNCIL"
"A4H6G","729","ROYAL BOROUGH OF KINGSTON UPON THAMES"
"A4M8P","323","LANCASHIRE COUNTY COUNCIL"
"A4Q3Q","609","SUFFOLK COUNTY COUNCIL"
"A4W9X","415","HEREFORDSHIRE COUNCIL"
"A4X9U","716","LONDON BOROUGH OF BARKING AND DAGENHAM"
"A4Z5E","306","MANCHESTER CITY COUNCIL"
"A5D5X","503","LINCOLNSHIRE COUNTY COUNCIL"
"A5H0G","814","SOUTHAMPTON CITY COUNCIL"
"A5L8X","323","LANCASHIRE COUNTY COUNCIL"
"A5Q6R","909","BRISTOL CITY COUNCIL"
"A5Q9X","312","TRAFFORD METROPOLITAN BOROUGH COUNCIL"
"A5R1U","312","TRAFFORD METROPOLITAN BOROUGH COUNCIL"
"A5W6F","902","CORNWALL COUNCIL"
"A5X1G","733","LONDON BOROUGH OF RICHMOND UPON THAMES"
"A6X8I","908","BATH AND NORTH EAST SOMERSET COUNCIL"
"A6Y4G","404","WARWICKSHIRE COUNTY COUNCIL"
"A7B1J","218","NORTH YORKSHIRE COUNCIL"
"A7B4B","408","DUDLEY METROPOLITAN BOROUGH COUNCIL"
"A7N2Q","406","BIRMINGHAM CITY COUNCIL"
"A7O0Y","908","BATH AND NORTH EAST SOMERSET COUNCIL"
"A7Q0S","912","DEVON COUNTY COUNCIL"
"A7U8J","413","STAFFORDSHIRE COUNTY COUNCIL"
"A8K4P","032","SWANSEA UA"
"A8L8E","207","SHEFFIELD CITY COUNCIL"
"A8N9B","805","SURREY COUNTY COUNCIL"
"A8O2V","724","LONDON BOROUGH OF HARINGEY"
"A8O7Z","821","MEDWAY COUNCIL"
"A8P6H","113","REDCAR AND CLEVELAND BOROUGH COUNCIL"
"A8P9K","607","NORFOLK COUNTY COUNCIL"
"A8R6J","812","HAMPSHIRE COUNTY COUNCIL"
"A9B9E","307","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"A9M1D","817","WILTSHIRE COUNCIL"
"A9M3Q","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"A9R4J","509","LEICESTER CITY COUNCIL"
"A9U1A","306","MANCHESTER CITY COUNCIL"
"A9Z3Q","723","LONDON BOROUGH OF ENFIELD"
"AA401","116","DURHAM COUNTY COUNCIL"
"AA402","406","BIRMINGHAM CITY COUNCIL"
"AA403","406","BIRMINGHAM CITY COUNCIL"
"AA404","406","BIRMINGHAM CITY COUNCIL"
"AA405","406","BIRMINGHAM CITY COUNCIL"
"AA406","406","BIRMINGHAM CITY COUNCIL"
"AA407","406","BIRMINGHAM CITY COUNCIL"
"AA408","406","BIRMINGHAM CITY COUNCIL"
"AA409","116","DURHAM COUNTY COUNCIL"
"AA410","116","DURHAM COUNTY COUNCIL"
"AA411","116","DURHAM COUNTY COUNCIL"
"AA412","116","DURHAM COUNTY COUNCIL"
"AA413","116","DURHAM COUNTY COUNCIL"
"AA414","116","DURHAM COUNTY COUNCIL"
"AA415","116","DURHAM COUNTY COUNCIL"
"AA416","116","DURHAM COUNTY COUNCIL"
"AA417","116","DURHAM COUNTY COUNCIL"
"AA419","116","DURHAM COUNTY COUNCIL"
"AA420","110","SUNDERLAND CITY COUNCIL"
"AA422","110","SUNDERLAND CITY COUNCIL"
"AA423","110","SUNDERLAND CITY COUNCIL"
"AA424","110","SUNDERLAND CITY COUNCIL"
"AA425","116","DURHAM COUNTY COUNCIL"
"AA426","110","SUNDERLAND CITY COUNCIL"
"AA427","116","DURHAM COUNTY COUNCIL"
"AA428","116","DURHAM COUNTY COUNCIL"
"AA429","116","DURHAM COUNTY COUNCIL"
"AA430","116","DURHAM COUNTY COUNCIL"
"AA431","116","DURHAM COUNTY COUNCIL"
"AA432","116","DURHAM COUNTY COUNCIL"
"AA433","116","DURHAM COUNTY COUNCIL"
"AA434","116","DURHAM COUNTY COUNCIL"
"AA435","117","DARLINGTON BOROUGH COUNCIL"
"AA436","117","DARLINGTON BOROUGH COUNCIL"
"AA437","117","DARLINGTON BOROUGH COUNCIL"
"AA438","116","DURHAM COUNTY COUNCIL"
"AA439","117","DARLINGTON BOROUGH COUNCIL"
"AA440","117","DARLINGTON BOROUGH COUNCIL"
"AA441","117","DARLINGTON BOROUGH COUNCIL"
"AA442","117","DARLINGTON BOROUGH COUNCIL"
"AA443","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA444","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA445","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA446","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA447","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA448","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA449","110","SUNDERLAND CITY COUNCIL"
"AA450","110","SUNDERLAND CITY COUNCIL"
"AA451","110","SUNDERLAND CITY COUNCIL"
"AA452","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA453","104","NORTHUMBERLAND COUNTY COUNCIL"
"AA454","106","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"AA455","106","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"AA456","110","SUNDERLAND CITY COUNCIL"
"AA457","110","SUNDERLAND CITY COUNCIL"
"AA458","110","SUNDERLAND CITY COUNCIL"
"AA459","110","SUNDERLAND CITY COUNCIL"
"AA460","110","SUNDERLAND CITY COUNCIL"
"AA461","110","SUNDERLAND CITY COUNCIL"
"AA462","110","SUNDERLAND CITY COUNCIL"
"AA463","110","SUNDERLAND CITY COUNCIL"
"AA464","110","SUNDERLAND CITY COUNCIL"
"AA465","110","SUNDERLAND CITY COUNCIL"
"AA466","110","SUNDERLAND CITY COUNCIL"
"AA467","110","SUNDERLAND CITY COUNCIL"
"AA468","116","DURHAM COUNTY COUNCIL"
"AA469","111","HARTLEPOOL BOROUGH COUNCIL"
"AA470","111","HARTLEPOOL BOROUGH COUNCIL"
"AA471","111","HARTLEPOOL BOROUGH COUNCIL"
"AA472","116","DURHAM COUNTY COUNCIL"
"AA473","110","SUNDERLAND CITY COUNCIL"
"AA474","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA475","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA476","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA477","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA478","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA479","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA480","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA481","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA482","116","DURHAM COUNTY COUNCIL"
"AA483","110","SUNDERLAND CITY COUNCIL"
"AA484","411","WALSALL METROPOLITAN BOROUGH COUNCIL"
"AA485","406","BIRMINGHAM CITY COUNCIL"
"AA486","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA487","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA488","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AA501","711","LONDON BOROUGH OF TOWER HAMLETS"
"AA601","735","LONDON BOROUGH OF WALTHAM FOREST"
"AA602","702","LONDON BOROUGH OF CAMDEN"
"AA701","323","LANCASHIRE COUNTY COUNCIL"
"AA801","608","OXFORDSHIRE COUNTY COUNCIL"
"AA901","718","LONDON BOROUGH OF BEXLEY"
"AA902","718","LONDON BOROUGH OF BEXLEY"
"AA903","718","LONDON BOROUGH OF BEXLEY"
"AA904","718","LONDON BOROUGH OF BEXLEY"
"AA905","718","LONDON BOROUGH OF BEXLEY"
"AA906","718","LONDON BOROUGH OF BEXLEY"
"AAA01","720","LONDON BOROUGH OF BROMLEY"
