"dep";"annee";"tauxPatients"
"70";2019;197,02
"71";2019;194,42
"72";2019;198,79
"73";2019;189,6
"74";2019;181,18
"75";2019;177,12
"76";2019;195,91
"77";2019;185,33
"78";2019;188,09
"79";2019;185,42
"80";2019;197,18
"81";2019;193,82
"82";2019;204,15
"83";2019;215,58
"84";2019;201,14
"85";2019;195,21
"86";2019;188,56
"87";2019;181,87
"88";2019;198,11
"89";2019;192,98
"90";2019;178,9
"91";2019;189,09
"92";2019;177,19
"93";2019;189,67
"94";2019;185,05
"95";2019;192,33
"971";2019;173,38
"972";2019;153,96
"973";2019;176,07
"974";2019;185,01
"976";2019;67,76
"977";2019;149,58
"978";2019;148,31
"00";2019;191,72
"01";2020;164,56
"02";2020;178,28
"03";2020;175,85
"04";2020;178,72
"05";2020;188,56
"06";2020;193,43
"07";2020;171,08
"08";2020;169,96
"09";2020;170,95
"10";2020;164,11
"11";2020;183,64
"12";2020;163,18
"13";2020;199,41
"14";2020;171,76
"15";2020;170,09
"16";2020;167,28
"17";2020;172,75
"18";2020;162,94
"19";2020;167,99
"21";2020;171,13
"22";2020;173,4
"23";2020;174,79
"24";2020;175,16
"25";2020;159,83
"26";2020;165,58
"27";2020;173,1
"28";2020;166,29
"29";2020;177,48
"2A";2020;166,02
"2B";2020;174,89
"30";2020;180,69
"31";2020;184,81
"32";2020;179,72
"33";2020;191,15
"34";2020;187,89
"35";2020;163,34
"36";2020;162,95
"37";2020;164,57
"38";2020;174,69
"39";2020;165,9
"40";2020;187,09
"41";2020;155,84
"42";2020;177,16
"43";2020;178,7
"44";2020;183
"45";2020;162,02
"46";2020;172,73
"47";2020;176,63
"48";2020;164,32
"49";2020;174,97
"50";2020;167,23
"51";2020;172,22
"52";2020;172,76
"53";2020;162,57
"54";2020;178,91
"55";2020;183,49
"56";2020;173,07
"57";2020;166,64
"58";2020;163,26
"59";2020;189,91
"60";2020;171,16
"61";2020;173,05
"62";2020;185,64
"63";2020;168,8
"64";2020;182,95
"65";2020;173,88
"66";2020;176,75
"67";2020;178,98
"68";2020;163,83
"69";2020;173,96
"70";2020;168,41
"71";2020;174,8
"72";2020;179,57
"73";2020;157,21
"74";2020;158,6
"75";2020;160,68
"76";2020;178,86
"77";2020;163,24
"78";2020;167,15
"79";2020;163,43
"80";2020;176,88
"81";2020;176,26
"82";2020;181,23
"83";2020;193,61
"84";2020;180,61
"85";2020;177,22
"86";2020;170,07
"87";2020;172,35
"88";2020;175,66
"89";2020;170,2
"90";2020;156,95
"91";2020;167,93
"92";2020;159,09
"93";2020;169,1
"94";2020;162,06
"95";2020;170,48
"971";2020;157,72
"972";2020;145,99
"973";2020;147,23
"974";2020;170,67
"976";2020;66,67
"977";2020;140,05
"978";2020;136,44
"00";2020;172,18
"01";2021;183,68
"02";2021;190,18
"03";2021;197,03
"04";2021;196,19
"05";2021;207,11
"06";2021;210,75
